GharEx server running at http://localhost:3000
Admin API key: change-this-admin-key
URL: /admin.html METHOD: GET
URL: /api/admin/requests METHOD: GET
URL: /admin.html METHOD: GET
URL: /api/admin/requests METHOD: GET
URL: /api/admin/requests/3f1839b2-f5a8-4502-964a-7b218bfae3a3/status METHOD: PATCH
URL: /api/admin/requests METHOD: GET
URL: /api/admin/requests METHOD: OPTIONS
URL: /api/admin/requests METHOD: GET
URL: /admin.html METHOD: GET
URL: /api/admin/requests METHOD: OPTIONS
URL: /api/admin/requests METHOD: GET
URL: /api/requests METHOD: OPTIONS
URL: /api/requests METHOD: POST
URL: /api/admin/requests METHOD: OPTIONS
URL: /api/admin/requests METHOD: GET
URL: /api/admin/requests METHOD: OPTIONS
URL: /api/admin/requests METHOD: GET
URL: /api/admin/requests METHOD: OPTIONS
URL: /api/admin/requests METHOD: GET
URL: /api/admin/requests METHOD: GET
URL: /admin.html METHOD: GET
URL: /admin.html METHOD: GET
URL: /api/admin/requests METHOD: GET
URL: /admin.html METHOD: GET
URL: /api/admin/requests METHOD: GET
URL: /api/admin/requests METHOD: OPTIONS
URL: /api/admin/requests METHOD: GET
